ImagePath,DatasetSource,Reason
data/raw/isic_2019/ISIC_2019_Training_Input/ISIC_0012669_downsampled.jpg,ISIC,Too dark/bright
data/raw/isic_2019/ISIC_2019_Training_Input/ISIC_0065207.jpg,ISIC,Too dark/bright
data/raw/pad_ufes_20/images/imgs_part_1/PAT_46_881_939.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_1989_4061_934.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_684_1302_588.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_1549_1882_230.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_778_1471_835.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_117_179_983.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_1995_4080_695.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_2140_4726_141.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_2088_4524_465.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_636_1204_521.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_741_1401_619.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_1783_3414_120.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_821_1547_77.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_875_1668_588.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_1790_3425_942.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_106_159_325.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_435_854_68.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_3/PAT_1902_3790_168.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_42_58_13.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_302_651_529.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_107_160_609.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_134_201_587.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_79_120_532.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_724_1369_896.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_944_1795_371.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_2/PAT_793_1512_327.png,PAD-UFES-20,Not RGB
data/raw/pad_ufes_20/images/imgs_part_1/PAT_394_1562_579.png,PAD-UFES-20,Not RGB
